date,year,month,day,time,hour,minute,direction,type,file_idx,vehicle_count,occupancy,is_public_vehicle,total_electric,is_electric
2022-10-25,2022,10,25,10:40,10,40,Out,Lorry,95,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:40,10,40,Out,Taxi,82,2,2.0,0.0,0.0,0
2022-10-25,2022,10,25,10:40,10,40,Out,Van,88,3,1.3333333333333333,0.0,0.0,0
2022-10-25,2022,10,25,10:45,10,45,In,Bicycle,77,5,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:45,10,45,In,Bus,75,1,8.0,0.0,0.0,0
2022-10-25,2022,10,25,10:45,10,45,In,Car,77,21,1.7142857142857142,0.0,2.0,1
2022-10-25,2022,10,25,10:45,10,45,In,Lorry,75,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:45,10,45,In,Taxi,75,2,2.0,0.0,0.0,0
2022-10-25,2022,10,25,10:45,10,45,In,Van,75,3,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:45,10,45,Out,Bus,95,4,17.0,0.0,0.0,0
2022-10-25,2022,10,25,10:45,10,45,Out,Car,96,11,0.4090909090909091,0.0,0.0,0
2022-10-25,2022,10,25,10:45,10,45,Out,Lorry,88,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,10:45,10,45,Out,Taxi,95,2,2.5,0.0,0.0,0
2022-10-25,2022,10,25,10:45,10,45,Out,Van,96,2,0.375,0.0,0.0,0
2022-10-25,2022,10,25,10:50,10,50,In,Bicycle,75,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:50,10,50,In,Bus,77,3,66.66666666666667,0.0,0.0,0
2022-10-25,2022,10,25,10:50,10,50,In,Car,91,30,1.4,0.0,1.0,1
2022-10-25,2022,10,25,10:50,10,50,In,Lorry,79,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:50,10,50,In,Motorbike,79,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:50,10,50,In,Scooter,75,1,1.0,0.0,1.0,1
2022-10-25,2022,10,25,10:50,10,50,In,Taxi,75,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:50,10,50,In,Van,77,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:50,10,50,Out,Bus,82,2,0.0,0.0,0.0,0
2022-10-25,2022,10,25,10:50,10,50,Out,Car,96,8,0.40625,0.0,0.0,0
2022-10-25,2022,10,25,10:50,10,50,Out,Lorry,82,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:50,10,50,Out,Taxi,104,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:50,10,50,Out,Van,82,1,3.0,0.0,0.0,0
2022-10-25,2022,10,25,10:55,10,55,In,Bicycle,91,5,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:55,10,55,In,Bus,86,3,73.86666666666667,0.0,0.0,0
2022-10-25,2022,10,25,10:55,10,55,In,Car,91,31,1.3548387096774193,0.0,0.0,0
2022-10-25,2022,10,25,10:55,10,55,In,Lorry,91,1,1.0,1.0,0.0,0
